Model,Task,MAE,RMSE,R2,Accuracy,Precision,Recall,F1,Training Time,Prediction Time
Scikit-learn Linear Regression,Regression,0.11209628468388427,0.15064514829331035,0.14531628599830804,,,,,0.023655700002564117,0.010817000002134591
From-Scratch Linear Regression,Regression,0.11209630610472096,0.1506450997886165,0.14531683637999204,,,,,0.006800100003601983,0.00016549999418202788
Scikit-learn Logistic Regression,Classification,,,,0.75,0.7746478873239436,0.9322033898305084,0.8461538461538461,0.03732329999911599,0.01106170000275597
From-Scratch Logistic Regression,Classification,,,,0.725,0.7605633802816901,0.9152542372881356,0.8307692307692307,0.1346006999956444,0.0002040999970631674
Optimized From-Scratch Logistic Regression,Classification,,,,0.7416666666666667,0.7751196172248804,0.9152542372881356,0.8393782383419689,0.0696036000008462,0.00018390000332146883
